quarter,2M,CYKH,CYKHE,Domestic Barge Feeder Carrier,G6,MSC/CMA CGM,OCEAN,Ocean Three,THE Alliance,Unaffiliated Global Carrier
2013-Q3,0,4,0,0,0,1,0,0,0,1
2013-Q4,0,4,0,0,0,1,0,0,0,1
2014-Q1,0,4,0,0,0,1,0,0,0,1
2014-Q2,0,4,0,0,0,1,0,0,0,1
2014-Q3,0,4,0,0,1,1,0,0,0,2
2014-Q4,0,4,0,0,1,1,0,0,0,2
2015-Q1,0,4,0,0,1,1,0,0,0,2
2015-Q2,2,0,5,0,1,0,0,0,0,0
2015-Q3,3,0,5,0,1,0,0,0,0,0
2015-Q4,3,0,5,0,1,0,0,0,0,0
2016-Q1,3,0,5,0,1,0,0,0,0,0
2016-Q2,3,0,5,0,1,0,0,0,0,0
2016-Q3,3,0,4,0,5,0,0,1,0,0
2016-Q4,3,0,4,0,5,0,0,1,0,0
2017-Q1,3,0,4,0,5,0,0,1,0,0
2017-Q2,3,0,0,0,0,0,5,0,5,0
2017-Q3,1,0,0,0,0,0,5,0,3,0
2017-Q4,1,0,0,0,0,0,5,0,3,0
2018-Q1,1,0,0,0,0,0,5,0,3,0
2018-Q2,1,0,0,0,0,0,5,0,3,0
2018-Q3,1,0,0,0,0,0,5,0,3,0
2018-Q4,1,0,0,0,0,0,5,0,3,0
2019-Q1,1,0,0,0,0,0,5,0,3,0
2019-Q2,1,0,0,0,0,0,5,0,3,0
2019-Q3,1,0,0,1,0,0,5,0,0,0
2019-Q4,1,0,0,1,0,0,5,0,0,0
2020-Q1,1,0,0,1,0,0,5,0,0,0
2020-Q2,1,0,0,1,0,0,5,0,0,0
2020-Q3,1,0,0,1,0,0,5,0,0,0
2020-Q4,1,0,0,1,0,0,4,0,0,0
2021-Q1,1,0,0,1,0,0,4,0,0,0